domain, index, Adap-HH, FS-ILS, NR-FS-ILS, EPH, AA-HH, ANW-HH
KnapsackProblem, 6, -937868.0, -906490.0, -895516.0, -936200.0, -923973.0, -923425.0
KnapsackProblem, 7, -1577175.0, -1572999.0, -1572999.0, -1577175.0, -1577175.0, -1572999.0
KnapsackProblem, 8, -1530463.0, -1347297.0, -1346608.0, -1530471.0, -1530453.0, -1530453.0
KnapsackProblem, 9, -1467353.0, -1463681.0, -1462759.0, -1467357.0, -1467353.0, -1466892.0
QAP, 0, 152214.0, 152196.0, 152196.0, 152388.0, 152402.0, 154520.0
QAP, 1, 154164.0, 154088.0, 154166.0, 154390.0, 154290.0, 156642.0
QAP, 2, 147970.0, 148002.0, 147978.0, 148122.0, 148190.0, 150930.0
QAP, 3, 149850.0, 149858.0, 149828.0, 150144.0, 149992.0, 152090.0
QAP, 4, 2.1366688E7, 2.1309208E7, 2.1321554E7, 2.1401254E7, 2.151813E7, 2.1646582E7
QAP, 5, 1.187875748E9, 1.187490923E9, 1.187383316E9, 1.189221001E9, 1.189321259E9, 1.237911003E9
QAP, 6, 5.029377E8, 5.03088738E8, 5.02654006E8, 5.024091E8, 5.02293807E8, 5.14793699E8
QAP, 7, 4.4858394E7, 4.4874028E7, 4.4873022E7, 4.486094E7, 4.4866876E7, 4.4929368E7
QAP, 8, 8163764.0, 8169250.0, 8162592.0, 8163304.0, 8168990.0, 8321922.0
QAP, 9, 273414.0, 273362.0, 273336.0, 273630.0, 273512.0, 275644.0
MaxCut, 0, -4.1175603E7, -4.1348693E7, -4.1145032E7, -4.0953212E7, -4.0502841E7, -3.8772645E7
MaxCut, 1, -2.69692927E8, -2.55265025E8, -2.57764081E8, -2.60608752E8, -2.6315147E8, -2.58016734E8
MaxCut, 2, -3044.0, -3041.0, -3044.0, -3023.0, -3046.0, -2996.0
MaxCut, 3, -3025.0, -3020.0, -3025.0, -3004.0, -3033.0, -2976.0
MaxCut, 4, -3026.0, -3026.0, -3028.0, -3004.0, -3035.0, -2982.0
MaxCut, 5, -13126.0, -13083.0, -13091.0, -13065.0, -13177.0, -12964.0
MaxCut, 6, -1314.0, -1302.0, -1304.0, -1206.0, -1322.0, -1232.0
MaxCut, 7, -9823.0, -9632.0, -9668.0, -9794.0, -9878.0, -9657.0
MaxCut, 8, -450.0, -450.0, -450.0, -430.0, -454.0, -404.0
MaxCut, 9, -2786.0, -2676.0, -2680.0, -2648.0, -2814.0, -2578.0
